label,sentence1,sentence2
1,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
1,An african american woman with 2 young girls.,There is a woman with two girls.
1,Several people wait to checkout inside a store with a warehouse looking ceiling.,many people are waiting in a store
1,"Many people are in a cafeteria or restaurant, there are two workers wearing white and black who are taking their orders.",People in a busy restaurant.
1,Three people and a white dog are sitting in the sand on a beach.,People sitting on the beach.
1,"Young boy with tongue out hula hooping with two hula hoops in a crowded area, man in blue shirt stands behind him.",A boy is hula hooping while a man is behind him.
1,A group of women wearing bikinis are playing beach volleyball.,Women play volleyball.
1,A man sweeping in the street.,A man is cleaning the street.
1,"Male in brown leather jacket and black slacks, looking down at his phone, leaning against a brown painted box.","Male in brown leather jacket and black slacks, looking down at his phone"
1,"A woman dressed as Dorthy from the Wizard of Oz smiling at a baby, standing above her on a table, dressed as an elephant.",Somebody who is depicted is wearing a costume from a movie.
1,"Woman in a dress standing in front of a line of a clothing line, with clothes hanging on the line.",A woman in a dress is standing in front of a line.
1,A woman is eating what appears to be a mussel.,The woman is about to ingest food
1,Two kids begin to make a snowman on a sunny winter day.,Two kids making a snowman.
1,A man in a green shirt is singing karaoke while a young woman with long brownish hair stands by and listens.,A man is singing a song.
1,A man with a crop is trying to stay on a rearing horse.,The horse is rearing
1,Excavation of the ruins of a ancient temple.,A ancient temple is evacuated.
1,A dog with big ears holds a ball in his mouth.,The dog has big ears.
1,A man riding a red motorbike near a large crowd of people by some tents.,A man is on a motorbike.
1,A woman in a wheelchair is talking to her friend while surrounded by other people walking in the park.,The woman is outdoors.
1,Old man with gray blanket on squatting against a wall,Old man squats against a wall.
1,A black dog holding an orange object in the water.,A dog holds an object in the water.
1,A youth is kicking a soccer ball in an empty brick area.,A human kicking.
1,Four men in red vests with crosses on them ski on a mountain.,Four people are skiing
2,A female swimmer getting out of the pool still dripping wet.,An Olympic swimmer exits the pool.
2,A woman wearing sunglasses is holding a pink cellphone to her ear.,A woman is talking on her phone with her boyfriend.
2,"Two women are standing under an umbrella together, in front of a bandstand.",The women are holding a umbrella because it is raining on them.
2,"Four people sit on a subway two read books, one looks at a cellphone and is wearing knee high boots.",Multple people are using the subway to get to work.
2,"An elderly woman pushing a cart filled with boxes walks by theater sign for ""South Pacific"".",A tall person pushing a cart
2,Female sitting in a chair in front of a hazy field.,A woman is waiting for someone.
2,A woman sits on a bed and puts on her red socks.,"A woman is sitting on her bed, getting dressed for work."
2,"Two competitors in the last leg of a race, strong legs, long strides to the end.",The crowd is cheering them on.
2,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",An old woman is eating at a diner.
2,a young girl in red lifting a girl in blue to the top of a wall and lighting.,They are trying to reach something high up.
2,A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him.,A gentleman in a striped shirt joyously gesturing
2,Several firemen stand or sit on a gray roof while working.,Several fireman are putting out a fire on a gray roof.
2,A man and a woman are out walking their dogs.,A man and a woman are out walking their dogs while chatting.
2,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,There has been so much snow that the city had to buy more traffic cones.
2,A man in swimming trunks plays in the ocean's waves.,A man is surfing out on the ocean.
2,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The snowboarder is on a ski lift.
2,"A person playing a drum with only their lower torso, hands, drumsticks, and drum showing in the foreground.",A person is happily playing a drum.
2,A woman singer holding a microphone singing at a concert.,madonna is singing at a concert
2,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,a man stole the 2012 olympic torch and runs from a police officer
2,A boy is outside jumping over a flower bush on a skateboard.,a boy on his skateboard he got for Christmas
2,"A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her friends standing behind her.",Her friends are telling her to hurry up and put her jacket on.
2,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,They prepare to go home after a delicious meal
2,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.","The tiny white car with the Obama bumper sticker was almost hit by the train, however, the car managed to barely avoid the collision."
