label,sentence1,sentence2
1,"A young boy with blue shorts, at an indoor pool jumping into the water.",A child leaps into the water with trunks on.
1,A group of people standing in the street.,A crowd gathers on the road.
1,A biker gets high in the air against a skyline.,The biker stands against a skyline.
1,A man is sitting beside a bunch of material while sewing.,A man sits and sews with cloth.
1,A dread-locked photographer in a suit takes pictures of a group of young children sitting on the ground.,The children are being photographed.
1,A black dog walking through water.,The black dog is getting wet.
1,A man in glasses and a striped shirt walks down the street with one hand in his pocket.,A man needs glasses to see clearly.
1,a man with a cigarette in hand is looking at a car in front of him.,A man stands near a car while smoking.
1,"Three adults and one child are waiting outside of a building, perhaps a school.",Four people are standing in front of a building.
1,A boy poses in karate form and uniform.,A boy is in a martial arts uniform.
1,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,Two Olympic atheletes compete for a medal.
1,"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",A girlis putting a box on a shelf.
1,A man is doing tricks on a skateboard.,The man is good at skateboarding.
1,This land race gets a little wet and wild.,The land race gets competitors wet.
1,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,A man photographs at a golf course.
1,A male is placing an order in a deli.,A man orders food at a deli.
1,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,The baseball player is not out.
1,A man wearing a brown shirt and green pans is pulling a rickshaw down a street,The man pulls a rickshaw behind him.
1,Two small children are gathering water from a large container.,Two kids are getting water.
1,A man is singing on stage with his fingers in a stuffed bear's nose.,A man's fingers are covered.
1,"Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets",Two women pound with mallets.
1,"The two people are on the end of the dock with a boat behind them, and they are surrounded by water.",Two people are near water.
1,"Two dogs, one lying down, play in a yard.",The dogs are playing.
2,Two guys sitting in a room with green and white curtain.,Two men sit in a dark room.
2,A woman in a tan top and jeans is sitting on a bench wearing headphones.,A woman is resting.
2,A musician with short blond-hair and wearing a blue scarf and vest plays a string instrument while singing.,The musician is too warmly dressed for summer.
2,During this vacation children enjoying their games at the park.,The children don't want to play at the beach.
2,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,The kids are not happy with their presents.
2,A gray dog with blue eyes laying on a bright blue carpet while chewing on something.,A gray dog is very old.
2,A policeman is directing a crowd of people walking.,A policeman helps people cross the street.
2,a man in pants dancing in a park.,A man earns money for dancing.
2,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,A man earns money for performing.
2,"As a referee looks on, a Los Angeles baseball player is falling over the top of a rival player who is just sliding into base.",The referee laughs at the players.
2,An old woman in a green and blue plaid shirt is standing on a crowded sidewalk smiling.,The woman is happy with the weather.
2,An elderly woman wearing sunglasses stands and looks at something.,The woman is shocked by the display window.
2,A little girl in a red and white shirt stands next to some caricatures of celebrities at an art fair.,The kid is bored.
2,two women in lab coats looking on a image projected on the wall,The scientists are experimenting with light.
2,A group of people is gathered around a table of food with their arms around each other.,The people are thanking the chef.
2,People are waiting in line by a food vendor.,The people are at an amusement park.
2,"A man and a woman are sitting at a table outside, next to a small flower garden.",The man and woman are in love.
2,Black dog with tan markings wearing a blue collar standing on green grass.,A dog is excited to be outside.
