label,sentence1,sentence2
1,Two backpackers look at scenic mountains.,The travellling duo look at the valleys below.
1,An airplane flying over a fence with a few bystanders watching it as it approaches its landing.,The engines are very loud.
1,Group of people stand near a fence watching a plane fly over them,Some people are looking upwards.
1,a girl in a pumpkin dress sitting at a table.,You can only see her torso.
1,Three individuals are wearing tight blue nylon suits with one instructor in all black with a ponytail assisting them with putting on harnesses.,The people are equipping themselves to perform.
1,A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard.,The band caters to a select crowd.
1,A live band on a lawn jamming out.,Music fills the air outdoors.
1,"A young lady walking down the street wearing a black jacket, sunglasses, sneakers, jeans, & gloves.",The girl is very well covered.
1,A man with a tattoo is wearing sunglasses while holding a small boy.,The man with body art has his hands full.
1,A mother and her daughter are both wearing heels standing outside in a crowd on a brick pavement looking out at the street in amazement.,They are surprised at the scene in front of them.
1,A surgeon is performing an open surgery.,The surgeon is well-trained.
1,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.",He is sweating due to the humidity.
1,a boy walks through the water.,The boy wades in as water seeps into his clothes.
1,A woman is cleaning an outdoor pool.,She is removing dirt crusted on the pool tiles.
1,A man and woman showing a small child how to use a gun.,The couple are firearem experts and teachers.
1,A crowd of interested people surrounds a man swinging a sledgehammer.,People are impressed by the man's feat.
1,"Small boy hugged by person in bee costume, blurry urban background.",The bee shows affection to the boy.
1,A treat vendor is standing in the sun while others sit in the shade under umbrellas.,The vendor is more likely to get sunburnt.
1,Young blond girl holding chopsticks looks with red eyes at camera while another girl in the background looks at food.,The girl with the chopsticks pauses before beginning her meal.
1,A lone man standing a rock shore looking downward at a inland body of water with a blue ocean or other large body of water behind him extending into the horizon of a blue sky.,The man is surrounded by water bodies.
1,A man about to smash something with a very large sledgehammer.,The man is using a very powerful tool.
1,Four people are bandaging a head wound.,The bleeding from the head wound has been stopped
1,Man observes a wavelength given off by an electronic device.,The man examines the device's output.
2,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,She is embarassing the bride with a childhood story.
2,A balding man is getting his shoes cleaned on a street corner.,The man has an important appointment.
2,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,The men are cheered for by the crowd.
2,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,The children do not want to enter.
2,A woman looking through what appears to be a telescope.,She can barely see anything through clouds.
2,Four girls look at objects under a microscope.,The bacteria is very dangerous.
2,Two ladies looking for bread to purchase.,They are going to feed pigeons.
2,Two men boxing a ring while one boxer is hitting the other.,The boxer is knocked out with three punches.
2,A race car sits in the pits.,The car has blown two tires.
2,Grading and pricing fish in an open air fish market.,The fish have been kept out all day.
2,"On stage, the innards of a piano are shown next to a man at a desk who is working on electronics, while a long-haired man is looking at a screen which shows ""53:11"".",The piano needs tuning before the show.
2,"Two brown and white dogs, one jumping over a log while the one behind runs through the grass.",The white dog is more adventurous than the brown.
2,The lady wearing a red coat is giving a speech.,Her voice echoes in the chamber.
2,A nurse examines equipment in the operating room.,The nurse is sterilizing scalpels.
2,An old man and lady in a white uniform is standing next to a man in black playing an instrument.,The woman doesn't like the music being played.
2,Golfer celebrates after a shot he has made.,The golfer runs around the cart in glee.
2,A dog gnawing on a bone.,The dog prefers eating dog food.
2,A man carrying a bag from a stick is walking down the sidewalk.,The man is a hobo.
2,Young male in blue shirt and tan pants rollerblading.,His pants split when he falls down.
2,A woman swinging a tennis racket on an outdoor court.,He is losing to her quite badly.
2,"A firefighter, in full uniform, looks off into the distance.",The firefighter is surveying water damage to the house.
2,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire.",The fire swallower has a tattoo.
2,A woman in a pink shirt is painting the last two stars on a painting of the American flag.,She is covered in paint.
0,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,The boy's shoe tips shine in the sun.
0,A man waterskies with a life jacket.,The man is in a wetsuit to minimize drag.
0,A group of children enjoy their time on the beach.,The gang is having a picnic in the park.
0,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The baby is sitting up in a chair.
0,An asian woman sitting outside an outdoor market stall.,The woman is very busy.
0,An older gentleman enjoys a scenic stroll through the countryside.,The crank prefers to stay in ar conditioned environments.
0,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,The man is eating breakfast.
0,"Several children are standing with plates full of food under a shelter, watching a man in a purple shirt serving good.",The children are too full to want food.
0,"This mother and her daughter and granddaughter are having car trouble, and the poor little girl looks hot out in the heat.",The youngest is walking away from the car.
0,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,The market has limited stock.
0,Three children dressed in winter clothes are walking through the woods while pushing cargo along.,The children are trekking across a mountain.
0,Five people are sitting on horses at a rodeo.,The horses are jockey-less.
0,"Nine women in white robes with hoods walk on plush, green grass.",The women blend into the grass when they lie down.
0,"A woman holds her child out of a red window, next to a Color TV sign.",The woman is juggling apples.
0,A construction worker is standing on a crane placing a large arm on top of a stature in progress.,He is looking at the base of the statue.
0,"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",The kids are reading books at the library.
0,A man is jumping unto his filthy bed.,The man regularly deep cleans his house.
0,A gentlemen dressed in a purple shirt with a red apron selling items to eat at a sport event held during the day in the summer time.,The vendors provide free service.
0,"Multiple women are wearing middle eastern outfits of gold, blue, yellow and red and performing a dance.",The dancers are dressed in monochrome.
0,a couple is walking down the sidewalk with their dog.,A couple is watching a drive-in movie.
0,A crowd watches a group of people dressed in yellow shirts perform.,The crowd has their eyes all closed.
0,A woman in black clothing runs down the street barefoot next to two people on bicycles and a female runner.,The woman stealthily sneaks up on the runner.
0,A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,Santa is delivering presents.
