label,sentence1,sentence2
1,A jockey wearing a blue jacket is riding a dark brown horse in a gallop.,A jockey is riding a horse in a gallop.
1,Various people shop at a street clothing sale.,People shop at a clothing sale.
1,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid jumps into the water
1,a  male is placing an order in a deli.,A man at a deli.
1,Two small children are gathering water from a large container.,Two kids are getting water.
1,A woman walking across an old rope and driftrood bridge between mountains.,A woman walking on a bridge in a mountain.
1,Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.,Several people are outside.
1,A small child in a coat looks out over the lake of a park in the fall.,A child is looking at the lake.
1,A black dog leaps out of the water,The animal is outdoors.
1,Two people sit on a bench leaned against a building with writing on it.,Tow people are resting their backs against a bench.
1,One football player wearing an orange jersey and one wearing a white jersey are set at the starting line.,Two football players wearing jerseys.
1,Two women wearing white bathrobes relax on a couch with their feet kicked up on a coffee table.,two women sit on a couch
1,Two men practicing a form of martial arts in a wooden-floored studio.,Two men practicing martial arts
1,Two little kids laugh on a blue swing.,Two children are playing on the swings
1,A red jeep hangs from the edge of a rocky cliff as a girl looks on.,The vehicle is red.
1,A little girl in a pink shirt about to cry,A child is upset.
1,A tan bird stands on a ledge about to eat something.,A bird is about to eat some food.
1,Two pedestrians walking past a sidewalk cafe on a cobblestone street.,two pedestrians walk on a cobblestone road past a cafe
1,An elderly woman wearing a flower printed apron with a pink colored shirt is cooking inside her kitchen.,A women is cooking
1,a man with a blue jacket look at items.,A man looks at things.
1,Several young people standing next to ten-speed bikes.,There are several people standing.
1,a group of four people conversing next to a bus,A group of people are talking near a vehicle.
1, man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,A man and woman display identical tattoos
2,A blond woman is holding 2 golf balls while reaching down into a golf hole.,The blonde woman is playing golf.
2,Snowboarder sails in the air.,A snowboarder jumps through the air and does tricks.
2,A man in black reading a book for a group of people.,The man is reading for children.
2,A referee is talking with a couple of soccer players in red jerseys.,The soccer players are being told what they did wrong.
2,"A small dog runs after a red ball, though a leafy outdoor area.",a dog runs after ball thrown by owner.
2,A woman holding roses while she waits.,this lady has roses while she is waiting for her husband
2,A woman in an red tracksuit squeezing lemons in a press.,A woman making lemonade.
2,Two businessmen going to work.,Two men board the train to go to work
2,A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background.,A man unloading a boat.
2,Two boys in a field kicking a soccer ball.,Some boys are practicing for a soccer game.
2,"A man wearing a hat, glasses and a painted mustache standing in a crowd of Asian people holding up a stick.","Man in a straw hat and glasses, raising a cane into the air, surrounded by a crowd."
2,A band is playing on stage at a concert and the attendants are dancing to the music.,This is a prom.
2,Two women with long hair are walking on a sidewalk under an overpass.,he models are on their way to the photoshoot.
2,"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.","The waiter takes a break after cleaning up the cafe, and the last customer leaves."
2,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics in a car.
2,"Little girl and older male, holding hands and walking on train tracks.",A father and daughter taking a walk.
2,Young man with a beard is sitting on the edge of the bed reading a manual.,He has the light on.
2,A girl in a pink shirt is teaching a young man in a striped sweater how to knit.,The girl is teaching her boyfriend how to knit.
2,An older man indulging in a bottle of amber liquid.,An older man is drinking beer from a bottle.
2,A group of Chinese people are relaxing in the water.,A group of Chinese people are at the beach.
2,"Grilling ribs, chicken kabobs, and vegetable kabobs.",We went out to eat.
2,A woman wearing a red hat and black coat.,The woman is blonde.
2,An Asian woman is looking at the camera while trimming asparagus.,Woman prepares an asparagus casserole.
0,"A group of people dressed as a wizard, queen, and possibly a lobster smiling and looking at the camera.",a man in a suit sits alone
0,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,three women in snowsuits eat a racoon
0,A Korean gentlemen kicks up his leg.,A person stands on two feet.
0,A guy tries to climb a stone cliff while his friend helps him.,Two men are standing on a beach looking up at a cliff.
0,A boy with a basketballs glowers at the camera.,The boy is smiling
0,"Boy, of age approximately 10 years old, lunging into pristine pool on hot summer day.",There are no kids allowed at the pristine pool.
0,Man in red shirt about to have a barbecue,Woman in red shirt about to have a barbecue
0,Two wrestlers jump in a ring while an official watches.,Sea turtles are hatching and racing for the surf.
0,A black dog running in the snow by some trees.,a dog sitting at the beach
0,Weekend barbecue with some fish.,Kids playing on the water
0,An Asian woman in a red skirt sits near the ground with another woman standing next to her.,the asian woman served rice in their restaurant
0,Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera.,A homeless girl uses both hands to eat garbage from a garbage can.
0,Two girls smile for the camera.,Three men are smoking cigars.
0,A man wearing a plaid shirt and brown apron is standing in front of an open fire.,The man is standing in the rain.
0,A man takes a nap on the sidewalk in a busy city.,A man is sitting in an open field.
0,A girl with black hair and a green shirt has taken several bites from a fresh green apple.,"The girl opens an oven door, and checks a meatloaf she is cooking to see how it is coming along."
0,A black limousine in front of a marble building with a crowd of people on the buildings steps.,A black limousine is behind a marble building.
0,A man in a hat stands in front of a brick wall.,A man in a hat sits down at the local DMV.
0,Two men and three women are sitting at a rectangular wooden table drinking beer from glasses of various shapes.,A group of people watching a movie at a theater.
0,"A man walking into a shadow, holding a sign.",A man running away from people.
0,"A group of teenagers are standing in front of some tents, most of them are holding skateboards.",A group of teenagers are jumping
0,A blond man stands next to a cement mixer with mountains in the background.,A construction worker takes a nap on a sofa.
0,A man wearing glasses and a dark coat looks at something to the left of the picture.,A man in a dark coat takes a photo.
