label,sentence1,sentence2
1,A jockey wearing a blue jacket is riding a dark brown horse in a gallop.,The equestrian is performing at his sport with focus.
1,Various people shop at a street clothing sale.,The prices are marked down on apparel.
1,"A young boy with blue shorts, at an indoor pool jumping into the water.",The pool is deep enough to jump into.
1,a  male is placing an order in a deli.,The guy describes his meal.
1,Two small children are gathering water from a large container.,The pair are engaged in emptying the water source.
1,A woman walking across an old rope and driftrood bridge between mountains.,The mountaineer is very high up.
1,Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.,There has been unlawful activity in the area.
1,A small child in a coat looks out over the lake of a park in the fall.,The child is warmly clad.
1,A black dog leaps out of the water,The dog bursts into sight.
1,Two people sit on a bench leaned against a building with writing on it.,They are comfortably seated with their feet resting on the ground.
1,One football player wearing an orange jersey and one wearing a white jersey are set at the starting line.,Play is about to start soon.
1,Two women wearing white bathrobes relax on a couch with their feet kicked up on a coffee table.,They are relaxing in the living room on a sofa
1,Two men practicing a form of martial arts in a wooden-floored studio.,The men are engaged in various poses while practicing.
1,Two little kids laugh on a blue swing.,They are enjoying their playtime together.
1,A red jeep hangs from the edge of a rocky cliff as a girl looks on.,The girl is watching the precarious situation unfold.
1,A little girl in a pink shirt about to cry,The child is at her breaking point.
1,A tan bird stands on a ledge about to eat something.,The bird is quite ravenous.
1,Two pedestrians walking past a sidewalk cafe on a cobblestone street.,The people are ambling along the streets of the town.
1,An elderly woman wearing a flower printed apron with a pink colored shirt is cooking inside her kitchen.,The smell of food pervades the room.
1,a man with a blue jacket look at items.,A man is inspecting what is in front of him.
1,Several young people standing next to ten-speed bikes.,They are not directly focusing on the bikes.
1,a group of four people conversing next to a bus,The people are not travelling at the moment.
1, man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,They have got matching ink
2,A blond woman is holding 2 golf balls while reaching down into a golf hole.,The woman is teeing off at the second hole of the golf course.
2,Snowboarder sails in the air.,A winter sports enthusiast catches air off a ramp.
2,A man in black reading a book for a group of people.,The reader addresses a group of young people.
2,A referee is talking with a couple of soccer players in red jerseys.,The man in the striped shirt is addressing players on the field.
2,"A small dog runs after a red ball, though a leafy outdoor area.",The little dog's tongue hangs out as he runs after the ball.
2,A woman holding roses while she waits.,The wife is waiting with scented flowers.
2,A woman in an red tracksuit squeezing lemons in a press.,The jogger makes herself lemon juice.
2,Two businessmen going to work.,Two white collar workers travel to their place of work daily.
2,A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background.,A boatman unloads his heavy cargo when docked on a rocky coast.
2,Two boys in a field kicking a soccer ball.,The boys have been playing soccer all afternoon.
