label,sentence1,sentence2
1,"This young man is wearing blue jeans and a cowboy hat, and is walking away from a calf that is currently roped within an arena.",The calf is looking at the man's retreating figure.
1,A thin man in a maroon shirt standing next to a pay phone.,The slender stranger is near a phone.
1,Two grownups are waiting for the bus to arrive on a cold day.,They are about to undertake a journey.
1,A man and a woman are boxing in a park with flowering trees.,The couple are vigorously exercising outdoors.
1,Three boys wearing life jackets are on top of innertube in the water.,The boys are both wearing and sitting on floatation devices.
1,A group of people are sitting at a table which has glasses of beer on it.,The posse is imbibing liquor.
1,Two men and three women are sitting at a rectangular wooden table drinking beer from glasses of various shapes.,The gang consumes differnet quantities of alcohol.
1,Several smiling people of varying ages sitting around a table with glasses of beer in front of them.,They are inebriatedly enjoying the experience.
1,Two young boys in swimming trunks are in the water looking at each other.,The swimmers are sizing each other up.
1,A man is throwing a big stick into the water so his two dogs and go fetch it.,Two dogs dive into water in pursuit.
1,People sit around tables watching intently under a cloth covering.,People sit under canopies and observe their surroundings.
1,An elder bearded man having a rest in a dilapidated building.,The building is risky to be inside.
1,A boy and a girl walk through the city.,They are travelling to a destination.
1,The boy in the black and red swimsuit is jumping into the water.,The diver is about to get wet.
1,The lady in the red jacket is helping the other lady decide what to buy.,The helper is offering a recommendation.
1,A downtown shot of a man on his cellphone under an awning.,A man is having a conversation in the shade.
1,"An Asian man in colorful robes holds a bell and leans toward a small table, with Buddhist or Hindu decorations on the table and the walls.",He is worshipping at the table.
1,A man jumps in front of a palace in China.,The man has launched himself off the ground.
1,Two men in animal print pajama bottoms sleep on a bed.,Their sleepwear is unique and kitschy.
1,A nicely dressed woman putting a handful of cotton candy in her mouth in a public square in Europe.,The woman likes sweet treats.
1,Two men play a game of chess in the park while two others eagerly await their chance,The park chess games are a spectator sport.
1,Couple walking on the beach.,The couple can see ripples on the water surface.
1,"Two hikers crossing a snowy field, with mountainous terrain behind them.",The hikers are on less treacherous terrain.
2,A dog gnawing on a bone.,The dog has nothing else to do.
2,A girl in sunglasses smiles.,The girl has spotted a crab on the beach.
2,A soccer player in a lime green shirt looks down at a yellow soccer ball.,She aims for the goal and kicks out.
2,Two black dogs in the snow.,They have never experienced a white winter before.
2,A lady with a purse on his shoulder reaching upward and putting a crown in a statue's hand.,She is a museum curator arranging an exhibit.
2,A man spiking the ball at a volleyball game.,The ball barells downwards and fails to clear the net.
2,Two men stand in an electric outdoor lift.,They get stuck between floors due to a power cut.
2,A curly-haired man and a woman in a black tank top both play guitars and sing at a festival.,They are local family folk singers.
2,Leaving the amusement park with lots of prizes.,The group has cheated at carnival games.
2,A young girl washes an automobile.,She runs out of water halfway through.
2,A man in a light pink polo shirt holds a flag splayed out in the air behind him.,The man is in an Olympic contingent.
2,A female figure skater in costume is executing a routine.,She completes a complex maneuver and gets a high score.
2,An Asian woman mixing cucumbers.,She will be blending them for a smoothie.
2,"A crowd of people are surrounding a street performance, there are buildings in the background.",The drama actors are experienced performers.
2,A child holds sparklers in the dark.,The sparklers are not yet lit.
2,"Five children are on a slide, all dressed in different colored clothes.",The children have never met each other.
2,A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on.,The foreman observes the new hire.
2,Football players playing in mud.,It is raining during the game.
2,A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,The men are training for a competition.
2,Skier wearing red walking up a snowy hillside.,The skier is scared of using ski lifts.
2,A man wearing an apron is smiling at a plate of food.,He has recently been promoted to head chef.
2,A man in a red shirt is being serviced by a working old woman in a store.,The employee is very patient with the man.
2,A man and woman sit on a dock looking out over the water on an overcast day.,They are also listening to the shipping forecast.
0,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",The man is riding in the taxi to the zoo.
0,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,They are currently cleaning the pool.
0,A person rides his bicycle in the sand beside the ocean.,He hates sand with a passion.
0,A man in a black shirt is playing a guitar.,The guitar string snaps and hits him.
0,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",The motorcade whizzes past the onlookers.
0,A woman is talking on the phone while standing next to a dog.,The dog is on her lap.
0,5 women sitting around a table doing some crafts.,The table surface is bare.
0,Street performer with bowler hat and high boots performs outside.,The sun reflects off the performer's bald head.
0,A young boy playing in the grass.,The child is very angry and bothered.
0,Two men playing baseball with the one in the black and red jersey running toward base.,The men are fighting on the diamond.
0,A man and a woman are looking at produce on display.,There is no stock at the grocery store.
0,People are throwing tomatoes at each other.,The ground is laden with papya seeds.
0,People standing in line of a beer and curry line.,The queue will go hungry.
0,A man and a woman are talking in a park,They are chatting on the patio.
0,A small ice cream stand with two people standing near it.,The stand is abandoned on a vacant lot.
0,Number 916 is hoping that he is going to win the race.,The race hopeful has a broken leg.
0,Girl plays with colorful letters on the floor.,The letters are made of flour.
0,Two men are cooking food together on the corner of the street.,They are making tie-n-dye shirts.
0,A man wandering in the desert as the clouds roll in.,The man is eating sand while hallucinating an oasis.
0,A lady with bright orange hair walking in a crowd.,The carrot-headed woman is loitering in an alleyway.
0,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is sitting in the audience.
0,A man running a marathon talks to his friend.,He collapses whilst on the phone.
0,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,The closest thing on camera is the dog.
