label,sentence1,sentence2
1,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid jumps into the water
1,A group of people standing in the street.,A group of people in the street.
1,A biker gets high in the air against a skyline.,The biker is a human.
1,A man is sitting beside a bunch of material while sewing.,A man is sewing.
1,A dread-locked photographer in a suit takes pictures of a group of young children sitting on the ground.,The children are being photographed.
1,A black dog walking through water.,The water has a black dog walking through it.
1,A man in glasses and a striped shirt walks down the street with one hand in his pocket.,A man is walking somewhere
1,a man with a cigarette in hand is looking at a car in front of him.,Man looks at car.
1,"Three adults and one child are waiting outside of a building, perhaps a school.",Four people are standing in front of a building.
1,A boy poses in karate form and uniform.,a boy shows his uniform
1,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,Two people are competing in the Olympics.
1,"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",a young girl putting a box on a shelf
1,A man is doing tricks on a skateboard.,A human doing tricks
1,This land race gets a little wet and wild.,There is a land race.
1,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,A man is taking pictures at a golf course.
1,A male is placing an order in a deli.,A man at a deli.
1,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,A player is hoping to score a run.
1,A man wearing a brown shirt and green pans is pulling a rickshaw down a street,A man was pulling a rickshaw behind him.
1,Two small children are gathering water from a large container.,Two kids are getting water.
1,A man is singing on stage with his fingers in a stuffed bear's nose.,A man is entertaining on stage by singing and putting his fingers in a stuffed animal.
1,"Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets",Two women with wooden mallets are preparing what looks like food on a simple table.
1,"The two people are on the end of the dock with a boat behind them, and they are surrounded by water.",Two people standing on a boat dock next to the water.
1,"Two dogs, one lying down, play in a yard.",They are outdoors.
2,Two guys sitting in a room with green and white curtain.,Two men are sitting and smoking.
2,A woman in a tan top and jeans is sitting on a bench wearing headphones.,A woman is on vacation.
2,A musician with short blond-hair and wearing a blue scarf and vest plays a string instrument while singing.,A tall person with a scarf
2,During this vacation children enjoying their games at the park.,The park is crowded
2,One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day.,Two small children are unhappy with the opening of their presents.
2,A gray dog with blue eyes laying on a bright blue carpet while chewing on something.,A gray dog is relaxing in his home.
2,A policeman is directing a crowd of people walking.,A policeman is keeping people away from a crime scene.
2,a man in pants dancing in a park.,A man is entertaining others with his dance knowledge.
2,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,The man was playing the guitar on the street.
2,"As a referee looks on, a Los Angeles baseball player is falling over the top of a rival player who is just sliding into base.",A man is getting his uniform dirty by sliding to base.
2,An old woman in a green and blue plaid shirt is standing on a crowded sidewalk smiling.,A woman watching a street performer play guitar.
2,An elderly woman wearing sunglasses stands and looks at something.,Elderly woman stops to look at a sales window.
2,A little girl in a red and white shirt stands next to some caricatures of celebrities at an art fair.,a kid stands near modern art
2,two women in lab coats looking on a image projected on the wall,Scientists are interpreting experimental findings.
2,A group of people is gathered around a table of food with their arms around each other.,A group of people are gather around a meeting room table.
2,People are waiting in line by a food vendor.,People stand in line for food at a festival.
2,"A man and a woman are sitting at a table outside, next to a small flower garden.",The man and woman are on a date.
2,Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing in the park.
2,Child squirting paint onto a piece of spin-art.,The child has paint all over their hands.
2,Two police officers are sitting on motorcycles in the road.,the police are waiting
2,A man is performing an aerial skateboard trick on a ramp with several other people behind him.,A man with a blue cap on is performing a skateboard trick in front of a crowd of people.
2,Two children in a bag race competing against each other while another boy watches on.,The boy watching has a broken leg.
2,A man is herding horned cows on a horse.,A person is herding his cattle on his ranch.
0,Two women are embracing while holding to go packages.,The men are fighting outside a deli.
0,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.
0,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe.
0,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",dog eats out of bowl
0,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a black shirt
0,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.
0,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is fixing her home.
0,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They are driving cars.
0,Two men on bicycles competing in a race.,A few people are catching fish.
0,A young boy in a field of flowers carrying a ball,dog in pool
0,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.
0,A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.
0,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,Only one woman is wearing a head scarf.
0,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.
0,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit
0,Two women having drinks and smoking cigarettes at the bar.,Three women are at a bar.
0,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera
0,Two doctors perform surgery on patient.,Two surgeons are having lunch.
0,A white dog with long hair jumps to catch a red and green toy.,A white dog with long hair is swimming underwater.
0,Kids are on a amusement ride.,A car is broke down on the side of the road.
0,A man in a black shirt is playing golf outside.,The man in the black shirt trades Pokemon cards with his girlfriend.
0,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,two ladies pin clothes to dry
0,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is putting her laundry into the machine.
