label,sentence1,sentence2
1,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,He is jamming while traveling.
1,An african american woman with 2 young girls.,Two girls are chaperoned by a woman.
1,Several people wait to checkout inside a store with a warehouse looking ceiling.,There are a lot of people in the checkout line at the shop.
1,"Many people are in a cafeteria or restaurant, there are two workers wearing white and black who are taking their orders.",Two waiters in suits are waiting on tables in a crowded restaurant.
1,Three people and a white dog are sitting in the sand on a beach.,The trio is winding down at the beach.
1,"Young boy with tongue out hula hooping with two hula hoops in a crowded area, man in blue shirt stands behind him.",The man is watching as the hula-hooping boy makes a funny face.
1,A group of women wearing bikinis are playing beach volleyball.,They are having a blast.
1,A man sweeping in the street.,The sweeper is cleaning the road.
1,"Male in brown leather jacket and black slacks, looking down at his phone, leaning against a brown painted box.",A man on his phone is lolling against a box.
1,"A woman dressed as Dorthy from the Wizard of Oz smiling at a baby, standing above her on a table, dressed as an elephant.",They both were in costume and were enjoying themselves.
1,"Woman in a dress standing in front of a line of a clothing line, with clothes hanging on the line.",The clothes are on a line behind the woman.
1,A woman is eating what appears to be a mussel.,She's going to eat a shellfish.
1,Two kids begin to make a snowman on a sunny winter day.,The snowman will melt faster than if the day had been cloudy.
1,A man in a green shirt is singing karaoke while a young woman with long brownish hair stands by and listens.,The karaoke singer is singing to a woman nearby.
1,A man with a crop is trying to stay on a rearing horse.,The man is trying to subdue the horse using the crop.
1,Excavation of the ruins of a ancient temple.,People are digging up the temple's remains.
1,A dog with big ears holds a ball in his mouth.,The ball is covered in saliva.
1,A man riding a red motorbike near a large crowd of people by some tents.,The bike's engine is revving as the man drives.
1,A woman in a wheelchair is talking to her friend while surrounded by other people walking in the park.,The disabled woman is having a conversation.
1,Old man with gray blanket on squatting against a wall,He can't feel the coldness at his back.
1,A black dog holding an orange object in the water.,The orange item is submerged.
1,A youth is kicking a soccer ball in an empty brick area.,He's passing time alone.
1,Four men in red vests with crosses on them ski on a mountain.,The vests stand out against the snow.
2,A female swimmer getting out of the pool still dripping wet.,She's been training for the Olympics.
2,A woman wearing sunglasses is holding a pink cellphone to her ear.,The phone is ringing against her ear.
2,"Two women are standing under an umbrella together, in front of a bandstand.",The women are shielding themselves from the sun.
2,"Four people sit on a subway two read books, one looks at a cellphone and is wearing knee high boots.",The person with boots is reading a book.
2,"An elderly woman pushing a cart filled with boxes walks by theater sign for ""South Pacific"".","The cart is very hard to push, so the woman is moving slowly."
2,Female sitting in a chair in front of a hazy field.,The grass is covered with dew.
2,A woman sits on a bed and puts on her red socks.,There is a Christmas party at work.
