annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",317383917.jpg#3,neutral,317383917.jpg#3r1n,A group of dogs stand in the snow.,( ( ( A group ) ( of dogs ) ) ( ( stand ( in ( the snow ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS dogs)))) (VP (VBP stand) (PP (IN in) (NP (DT the) (NN snow)))) (. .))),Some animals are forced to stand still in snow.,( ( Some animals ) ( ( are ( forced ( to ( ( stand still ) ( in snow ) ) ) ) ) . ) ),(ROOT (S (NP (DT Some) (NNS animals)) (VP (VBP are) (VP (VBN forced) (S (VP (TO to) (VP (VB stand) (ADVP (RB still)) (PP (IN in) (NP (NN snow)))))))) (. .)))
"['entailment', 'neutral', 'neutral', 'neutral', 'neutral']",5821129557.jpg#3,neutral,5821129557.jpg#3r1e,A little boy is getting is birthday cake and is blowing out the candles.,( ( ( A ( little boy ) ) ( is getting ) ) ( ( ( ( is ( birthday cake ) ) and ) ( is ( ( blowing out ) ( the candles ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ little) (NN boy)) (SBAR (S (VP (VBZ is) (VP (VBG getting)))))) (VP (VP (VBZ is) (NP (NN birthday) (NN cake))) (CC and) (VP (VBZ is) (VP (VBG blowing) (PRT (RP out)) (NP (DT the) (NNS candles))))) (. .))),A child at a party.,( ( ( A child ) ( at ( a party ) ) ) . ),(ROOT (NP (NP (DT A) (NN child)) (PP (IN at) (NP (DT a) (NN party))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'entailment']",510791586.jpg#3,neutral,510791586.jpg#3r1n,A lit girl splashes around in natural water.,( ( A ( lit girl ) ) ( ( ( splashes around ) ( in ( natural water ) ) ) . ) ),(ROOT (S (NP (DT A) (NN lit) (NN girl)) (VP (VBZ splashes) (PRT (RP around)) (PP (IN in) (NP (JJ natural) (NN water)))) (. .))),The girl is outside.,( ( The girl ) ( ( is outside ) . ) ),(ROOT (S (NP (DT The) (NN girl)) (VP (VBZ is) (ADVP (RB outside))) (. .)))
"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",2373018323.jpg#1,neutral,2373018323.jpg#1r1n,A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti.,( ( ( ( A ( young man ) ) ( in ( ( a ( blue hoodie ) ) ( ( doing ( a flip ) ) off ) ) ) ) ( of ( ( a half-wall ) ( that ( is ( covered ( in graffiti ) ) ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (JJ young) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN hoodie)) (VP (VBG doing) (NP (DT a) (JJ flip)) (PRT (RP off)))))) (PP (IN of) (NP (NP (DT a) (NN half-wall)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN covered) (PP (IN in) (NP (NNS graffiti))))))))) (. .))),A young man does a flip off a wall and wares baggie clothes.,( ( A ( young man ) ) ( ( ( does ( a flip ) ) ( off ( a ( wall ( and ( wares ( baggie clothes ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ young) (NN man)) (VP (VBZ does) (NP (DT a) (JJ flip)) (PP (IN off) (NP (DT a) (NN wall) (CC and) (NNS wares) (NN baggie) (NNS clothes)))) (. .)))
"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",4799796561.jpg#4,neutral,4799796561.jpg#4r1n,A man with a cigarette sits on the stoop.,( ( ( A man ) ( with ( a cigarette ) ) ) ( ( sits ( on ( the stoop ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN cigarette)))) (VP (VBZ sits) (PP (IN on) (NP (DT the) (NN stoop)))) (. .))),An old man is smoking a cigar.,( ( An ( old man ) ) ( ( is ( smoking ( a cigar ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG smoking) (NP (DT a) (NN cigar)))) (. .)))
"['contradiction', 'contradiction', 'neutral', 'entailment', 'contradiction']",482315006.jpg#0,contradiction,482315006.jpg#0r1c,A man and a woman are lying together on a grassy park field near a waterfront.,( ( ( ( A man ) and ) ( a woman ) ) ( ( are ( ( lying together ) ( on ( ( a ( grassy ( park field ) ) ) ( near ( a waterfront ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (CC and) (NP (DT a) (NN woman))) (VP (VBP are) (VP (VBG lying) (ADVP (RB together)) (PP (IN on) (NP (NP (DT a) (JJ grassy) (NN park) (NN field)) (PP (IN near) (NP (DT a) (NN waterfront))))))) (. .))),Two people are playing with a frisbee at a park.,( ( Two people ) ( ( are ( playing ( with ( ( a frisbee ) ( at ( a park ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG playing) (PP (IN with) (NP (NP (DT a) (NN frisbee)) (PP (IN at) (NP (DT a) (NN park))))))) (. .)))
"['entailment', 'entailment', 'neutral', 'entailment', 'entailment']",3182509597.jpg#2,entailment,3182509597.jpg#2r1e,Two men riding a boat in clear water on a sunny day.,( ( ( Two men ) ( ( riding ( ( a boat ) ( in ( clear water ) ) ) ) ( on ( a ( sunny day ) ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS men)) (VP (VBG riding) (NP (NP (DT a) (NN boat)) (PP (IN in) (NP (JJ clear) (NN water)))) (PP (IN on) (NP (DT a) (JJ sunny) (NN day)))) (. .))),A couple people are doing activities on a nice day in a boat.,( ( A ( couple people ) ) ( ( are ( ( doing activities ) ( on ( ( a ( nice day ) ) ( in ( a boat ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN couple) (NNS people)) (VP (VBP are) (VP (VBG doing) (NP (NNS activities)) (PP (IN on) (NP (NP (DT a) (JJ nice) (NN day)) (PP (IN in) (NP (DT a) (NN boat))))))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2234018985.jpg#2,neutral,2234018985.jpg#2r1n,A brown and white dog is chained up near a red chair.,( ( A ( ( ( brown and ) white ) dog ) ) ( ( is ( ( chained up ) ( near ( a ( red chair ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (ADJP (JJ brown) (CC and) (JJ white)) (NN dog)) (VP (VBZ is) (VP (VBG chained) (PRT (RP up)) (PP (IN near) (NP (DT a) (JJ red) (NN chair))))) (. .))),The dog is sitting.,( ( The dog ) ( ( is sitting ) . ) ),(ROOT (S (NP (DT The) (NN dog)) (VP (VBZ is) (VP (VBG sitting))) (. .)))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",542389533.jpg#0,contradiction,542389533.jpg#0r1c,"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.","( ( In ( front ( of ( ( a ( brick house ) ) ( with ( ( ( a ( straw roof ) ) and ) ( some figures ) ) ) ) ) ) ) ( , ( ( three children ) ( ( ( stand , ) ( two ( of ( them ( holding ( squares ( of blackboard ) ) ) ) ) ) ) . ) ) ) )","(ROOT (S (PP (IN In) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT a) (NN brick) (NN house)) (PP (IN with) (NP (NP (DT a) (NN straw) (NN roof)) (CC and) (NP (DT some) (NNS figures)))))))) (, ,) (NP (CD three) (NNS children)) (VP (VBP stand) (, ,) (NP (NP (CD two)) (PP (IN of) (S (NP (PRP them)) (VP (VBG holding) (NP (NP (NNS squares)) (PP (IN of) (NP (NN blackboard))))))))) (. .)))",The children are putting out a fire nearby,( ( The children ) ( are ( ( putting ( out ( a fire ) ) ) nearby ) ) ),(ROOT (S (NP (DT The) (NNS children)) (VP (VBP are) (VP (VBG putting) (PP (IN out) (NP (DT a) (NN fire))) (ADVP (RB nearby))))))
"['neutral', 'entailment', 'entailment', 'entailment', 'entailment']",7700080224.jpg#4,entailment,7700080224.jpg#4r1n,Several women are playing volleyball.,( ( Several women ) ( ( are ( playing volleyball ) ) . ) ),(ROOT (S (NP (JJ Several) (NNS women)) (VP (VBP are) (VP (VBG playing) (ADJP (JJ volleyball)))) (. .))),They women are hitting a ball with their arms,( ( They women ) ( are ( ( hitting ( a ball ) ) ( with ( their arms ) ) ) ) ),(ROOT (S (NP (PRP They) (NNS women)) (VP (VBP are) (VP (VBG hitting) (NP (DT a) (NN ball)) (PP (IN with) (NP (PRP$ their) (NNS arms)))))))
"['neutral', 'entailment', 'contradiction', 'entailment', 'entailment']",2217244400.jpg#3,entailment,2217244400.jpg#3r1n,Person with umbrella observes flooded streets with cars in the water.,( ( Person ( with umbrella ) ) ( ( ( observes ( flooded streets ) ) ( with ( cars ( in ( the water ) ) ) ) ) . ) ),(ROOT (S (NP (NP (NNP Person)) (PP (IN with) (NP (NN umbrella)))) (VP (VBZ observes) (NP (JJ flooded) (NNS streets)) (PP (IN with) (NP (NP (NNS cars)) (PP (IN in) (NP (DT the) (NN water)))))) (. .))),A person is standing outside in the rain looking at flood damage.,( ( A person ) ( ( is ( ( standing outside ) ( in ( ( the rain ) ( looking ( at ( flood damage ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG standing) (ADVP (RB outside)) (PP (IN in) (NP (NP (DT the) (NN rain)) (VP (VBG looking) (PP (IN at) (NP (NN flood) (NN damage)))))))) (. .)))
"['neutral', 'entailment', 'neutral', 'neutral', 'contradiction']",3205053031.jpg#3,neutral,3205053031.jpg#3r1n,A woman in a hooded type coat is holding a golden colored axe.,( ( ( A woman ) ( in ( a ( hooded ( type coat ) ) ) ) ) ( ( is ( holding ( a ( golden ( colored axe ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (DT a) (JJ hooded) (NN type) (NN coat)))) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ golden) (JJ colored) (NN axe)))) (. .))),A woman holds a metal axe.,( ( A woman ) ( ( holds ( a ( metal axe ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ holds) (NP (DT a) (NN metal) (NN axe))) (. .)))
"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",3977104006.jpg#1,entailment,3977104006.jpg#1r1e,Four men stand in a circle facing each other playing brass instruments which people watch them.,( ( Four men ) ( ( stand ( in ( ( a circle ) ( facing ( ( each ( other ( playing ( brass instruments ) ) ) ) ( ( which people ) ( watch them ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Four) (NNS men)) (VP (VBP stand) (PP (IN in) (NP (NP (DT a) (NN circle)) (VP (VBG facing) (NP (NP (DT each) (JJ other) (NN playing) (NN brass) (NNS instruments)) (SBAR (WHNP (WDT which) (NNS people)) (S (VP (VBP watch) (NP (PRP them)))))))))) (. .))),The men are playing music,( ( The men ) ( are ( playing music ) ) ),(ROOT (S (NP (DT The) (NNS men)) (VP (VBP are) (VP (VBG playing) (NP (NN music))))))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2749755023.jpg#4,neutral,2749755023.jpg#4r1n,a woman in a black shirt looking at a bicycle.,( ( ( ( a woman ) ( in ( a ( black shirt ) ) ) ) ( looking ( at ( a bicycle ) ) ) ) . ),(ROOT (NP (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (DT a) (JJ black) (NN shirt)))) (VP (VBG looking) (PP (IN at) (NP (DT a) (NN bicycle)))) (. .))),A woman dressed in black shops for a bicycle.,( ( A woman ) ( ( ( dressed ( in ( black shops ) ) ) ( for ( a bicycle ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBD dressed) (PP (IN in) (NP (JJ black) (NNS shops))) (PP (IN for) (NP (DT a) (NN bicycle)))) (. .)))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",1336391319.jpg#2,contradiction,1336391319.jpg#2r1c,A man pushing a hand-truck of boxes is bending over to pick up a pear.,( ( ( A man ) ( pushing ( ( a hand-truck ) ( of boxes ) ) ) ) ( ( is ( ( bending over ) ( to ( ( pick up ) ( a pear ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG pushing) (NP (NP (DT a) (NN hand-truck)) (PP (IN of) (NP (NNS boxes)))))) (VP (VBZ is) (VP (VBG bending) (PRT (RP over)) (S (VP (TO to) (VP (VB pick) (PRT (RP up)) (NP (DT a) (NN pear))))))) (. .))),A man is pushing a pear and picking up boxes.,( ( A man ) ( ( is ( ( ( pushing ( a pear ) ) and ) ( ( picking up ) boxes ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VP (VBG pushing) (NP (DT a) (NN pear))) (CC and) (VP (VBG picking) (PRT (RP up)) (NP (NNS boxes))))) (. .)))
"['entailment', 'neutral', 'neutral', 'neutral', 'entailment']",4905053758.jpg#4,neutral,4905053758.jpg#4r1e,people standing at a beach with Cameras.,( ( people ( standing ( at ( ( a beach ) ( with Cameras ) ) ) ) ) . ),(ROOT (NP (NP (NNS people)) (VP (VBG standing) (PP (IN at) (NP (NP (DT a) (NN beach)) (PP (IN with) (NP (NNP Cameras)))))) (. .))),A group of people standing at a beach filled with cameras.,( ( ( A group ) ( of ( people ( standing ( at ( a beach ) ) ) ) ) ) ( ( filled ( with cameras ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NP (NNS people)) (VP (VBG standing) (PP (IN at) (NP (DT a) (NN beach))))))) (VP (VBN filled) (PP (IN with) (NP (NNS cameras)))) (. .)))
"['neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral']",416960865.jpg#0,contradiction,416960865.jpg#0r1n,A woman wearing a red work man's hat and red jacket is hiking in the snow topped mountains.,( ( ( A woman ) ( wearing ( ( a ( red ( work ( man 's ) ) ) ) ( hat ( and ( red jacket ) ) ) ) ) ) ( ( is ( hiking ( in ( ( the snow ) ( topped mountains ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN woman)) (VP (VBG wearing) (NP (NP (DT a) (JJ red) (NN work) (NN man) (POS 's)) (NN hat) (CC and) (JJ red) (NN jacket)))) (VP (VBZ is) (NP (NP (NN hiking)) (PP (IN in) (NP (NP (DT the) (NN snow)) (VP (VBN topped) (NP (NNS mountains))))))) (. .))),A person is in the woods.,( ( A person ) ( ( is ( in ( the woods ) ) ) . ) ),(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NNS woods)))) (. .)))
"['neutral', 'contradiction', 'contradiction', 'neutral', 'neutral']",2773844590.jpg#2,neutral,2773844590.jpg#2r1n,A woman in bridal wear embraces an individual.,( ( ( A woman ) ( in ( bridal wear ) ) ) ( ( embraces ( an individual ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (JJ bridal) (NN wear)))) (VP (VBZ embraces) (NP (DT an) (NN individual))) (. .))),The newly married couple kiss.,( ( The ( ( newly married ) couple ) ) ( kiss . ) ),(ROOT (S (NP (DT The) (ADJP (RB newly) (VBN married)) (NN couple)) (VP (VBP kiss)) (. .)))
"['entailment', 'neutral', 'neutral', 'neutral', 'contradiction']",2474918824.jpg#3,neutral,2474918824.jpg#3r1e,A man in a red shirt is learning how to climb a cliff.,( ( ( A man ) ( in ( a ( red shirt ) ) ) ) ( ( is ( learning ( how ( to ( climb ( a cliff ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG learning) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB climb) (NP (DT a) (NN cliff)))))))) (. .))),A man is acquiring information.,( ( A man ) ( ( is ( acquiring information ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG acquiring) (NP (NN information)))) (. .)))
"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",4824883554.jpg#1,neutral,4824883554.jpg#1r1n,An old man in a blue shirt and white pants glowers by a glass door.,( ( ( An ( old man ) ) ( in ( ( ( a ( blue shirt ) ) and ) ( white pants ) ) ) ) ( ( glowers ( by ( a ( glass door ) ) ) ) . ) ),(ROOT (S (NP (NP (DT An) (JJ old) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN shirt)) (CC and) (NP (JJ white) (NNS pants))))) (VP (VBZ glowers) (PP (IN by) (NP (DT a) (NN glass) (NN door)))) (. .))),A man resting outside,( A ( man ( resting outside ) ) ),(ROOT (FRAG (NP (DT A) (NN man) (S (VP (VBG resting) (ADVP (RB outside)))))))
