label,sentence1,sentence2
1,"This young man is wearing blue jeans and a cowboy hat, and is walking away from a calf that is currently roped within an arena.",A person in jeans
1,A thin man in a maroon shirt standing next to a pay phone.,A man is standing next to a payphone wearing a maroon shirt.
1,Two grownups are waiting for the bus to arrive on a cold day.,They are outdoors.
1,A man and a woman are boxing in a park with flowering trees.,The man and woman are doing physical activity.
1,Three boys wearing life jackets are on top of innertube in the water.,Three boys are swimming.
1,A group of people are sitting at a table which has glasses of beer on it.,People are sitting down
1,Two men and three women are sitting at a rectangular wooden table drinking beer from glasses of various shapes.,A small group of people having drinks.
1,Several smiling people of varying ages sitting around a table with glasses of beer in front of them.,A groupe of people are sitting at a table.
1,Two young boys in swimming trunks are in the water looking at each other.,The boys look at each other
1,A man is throwing a big stick into the water so his two dogs and go fetch it.,Two large dogs are fetching for their master.
1,People sit around tables watching intently under a cloth covering.,People sit around tables under canopies.
1,An elder bearded man having a rest in a dilapidated building.,An old bearded man is in an old building.
1,A boy and a girl walk through the city.,A boy and a girl are walking outside.
1,The boy in the black and red swimsuit is jumping into the water.,The boy in the black and red swimsuit is about to go swimming
1,The lady in the red jacket is helping the other lady decide what to buy.,There are multiple people present.
1,A downtown shot of a man on his cellphone under an awning.,A man talks on a phone in a city.
1,"An Asian man in colorful robes holds a bell and leans toward a small table, with Buddhist or Hindu decorations on the table and the walls.",An Asian man in colorful light robes holds a bell.
1,A man jumps in front of a palace in China.,A man is jumping.
1,Two men in animal print pajama bottoms sleep on a bed.,Men are sleeping.
1,A nicely dressed woman putting a handful of cotton candy in her mouth in a public square in Europe.,A woman is eating cotton candy.
1,Two men play a game of chess in the park while two others eagerly await their chance,People play chess while others watch.
1,Couple walking on the beach.,A couple is at the beach.
1,"Two hikers crossing a snowy field, with mountainous terrain behind them.",Two hikers are out in the snow.
2,A dog gnawing on a bone.,A dog is looking for a spot to hide his bone
2,A girl in sunglasses smiles.,Girl wearing sunglasses smiling at a friend.
2,A soccer player in a lime green shirt looks down at a yellow soccer ball.,The player is female
2,Two black dogs in the snow.,Black puppies are frolicking among the freshly fallen snow.
2,A lady with a purse on his shoulder reaching upward and putting a crown in a statue's hand.,There is a lady putting a crown on her statue.
2,A man spiking the ball at a volleyball game.,The volleyball game is being held on the beach.
2,Two men stand in an electric outdoor lift.,"The two men are inspectors for the FDA, waiting to inspect the second level of the pharmaceutical plant."
2,A curly-haired man and a woman in a black tank top both play guitars and sing at a festival.,A brother and sister are playing in their band at a festival.
2,Leaving the amusement park with lots of prizes.,Leaving the amusment park with a giant teddy bear.
2,A young girl washes an automobile.,The girl has a red bucket of water.
2,A man in a light pink polo shirt holds a flag splayed out in the air behind him.,a man is holding a racing flag
2,A female figure skater in costume is executing a routine.,A woman is competing soon.
2,An Asian woman mixing cucumbers.,A woman is making her husband a meal.
2,"A crowd of people are surrounding a street performance, there are buildings in the background.",A crowd of people are watching a breakdancer pull over his signature moves
2,A child holds sparklers in the dark.,A child holds bright sparklers in the dark.
2,"Five children are on a slide, all dressed in different colored clothes.",Children playing in a park.
2,A man in an orange vest and hat is shoveling rocks while another man in a yellow and blue jacket looks on.,A tall person in a vest
2,Football players playing in mud.,Football players are wrestling in mud.
2,A man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,Two men are racing around a lake
2,Skier wearing red walking up a snowy hillside.,Skier walking up hill towards the ski lift.
2,A man wearing an apron is smiling at a plate of food.,The food plate was the first meal the man will have today.
2,A man in a red shirt is being serviced by a working old woman in a store.,A lady waits on a man in the general store.
2,A man and woman sit on a dock looking out over the water on an overcast day.,The man and woman are a couple.
0,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.
0,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on
0,A person rides his bicycle in the sand beside the ocean.,A person is on a boat.
0,A man in a black shirt is playing a guitar.,The man is wearing a blue shirt.
0,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people in a motorcade driving past an audience.
0,A woman is talking on the phone while standing next to a dog.,A woman is sleeping.
0,5 women sitting around a table doing some crafts.,Five men stand on chairs.
0,Street performer with bowler hat and high boots performs outside.,The child is dancing inside.
0,A young boy playing in the grass.,The boy is in the sand.
0,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is sitting in the bleachers.
0,A man and a woman are looking at produce on display.,Two men throw produce at each other for fun.
0,People are throwing tomatoes at each other.,The people are sitting and eating their food.
0,People standing in line of a beer and curry line.,People not standing in line
0,A man and a woman are talking in a park,A man and woman are talking in the aquarium.
0,A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.
0,Number 916 is hoping that he is going to win the race.,A person is is playing baseball.
0,Girl plays with colorful letters on the floor.,The girl is playing a video game in the bath.
0,Two men are cooking food together on the corner of the street.,The two men are running in a race.
0,A man wandering in the desert as the clouds roll in.,A man fights dead mummy's who magically came alive in the desert.
0,A lady with bright orange hair walking in a crowd.,The woman is asleep.
0,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is sitting in a chair inside.
0,A man running a marathon talks to his friend.,There are people canoeing down a river.
0,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of dogs barking outside a row of shops with a cat teasing them.
